date,open,high,low,close,volume,symbol,source
2018-01-02,2867.528,2912.269,2867.528,2908.732,5400866800,sh000016,Sina Finance via AkShare stock_zh_index_daily
2018-01-03,2914.279,2947.631,2906.598,2913.26,4820686500,sh000016,Sina Finance via AkShare stock_zh_index_daily
2018-01-04,2918.256,2934.152,2910.662,2919.479,4352071100,sh000016,Sina Finance via AkShare stock_zh_index_daily
2018-01-05,2926.778,2940.18,2920.084,2932.356,4994334800,sh000016,Sina Finance via AkShare stock_zh_index_daily
2018-01-08,2933.825,2952.344,2926.871,2947.761,5805279300,sh000016,Sina Finance via AkShare stock_zh_index_daily
2018-01-09,2947.55,2972.425,2947.116,2969.318,4058903400,sh000016,Sina Finance via AkShare stock_zh_index_daily
2018-01-10,2968.344,2999.748,2966.181,2995.564,5776385000,sh000016,Sina Finance via AkShare stock_zh_index_daily
2018-01-11,2986.792,3009.992,2981.335,2997.045,4235182100,sh000016,Sina Finance via AkShare stock_zh_index_daily
2018-01-12,2997.901,3019.702,2993.565,3018.596,3816829600,sh000016,Sina Finance via AkShare stock_zh_index_daily
2018-01-15,3027.203,3070.939,3022.472,3048.808,6498882100,sh000016,Sina Finance via AkShare stock_zh_index_daily
2018-01-16,3041.364,3065.187,3035.768,3063.861,6426246800,sh000016,Sina Finance via AkShare stock_zh_index_daily
2018-01-17,3071.499,3132.993,3060.219,3076.182,9106633000,sh000016,Sina Finance via AkShare stock_zh_index_daily
2018-01-18,3096.201,3125.863,3084.279,3106.552,8770692600,sh000016,Sina Finance via AkShare stock_zh_index_daily
2018-01-19,3122.672,3145.994,3100.407,3117.821,9495530200,sh000016,Sina Finance via AkShare stock_zh_index_daily
2018-01-22,3104.959,3144.851,3104.405,3130.33,7746585200,sh000016,Sina Finance via AkShare stock_zh_index_daily
2018-01-23,3145.108,3177.763,3144.281,3176.504,10169189900,sh000016,Sina Finance via AkShare stock_zh_index_daily
2018-01-24,3189.768,3202.47,3150.553,3180.332,9913066700,sh000016,Sina Finance via AkShare stock_zh_index_daily
2018-01-25,3171.35,3177.407,3124.456,3157.459,7736397600,sh000016,Sina Finance via AkShare stock_zh_index_daily
2018-01-26,3147.478,3195.072,3147.478,3172.778,8216463700,sh000016,Sina Finance via AkShare stock_zh_index_daily
