metric,value
start_date,2018-07-31
end_date,2026-07-31
trading_days,1940
total_return,-0.019702813682159648
annualized_return,-0.002581545822354925
annualized_volatility,0.21310058718933647
sharpe_ratio,-0.12942970353173716
maximum_drawdown,-0.5715910339487207
monthly_win_rate,0.5051546391752577
rebalance_count,49
annualized_turnover,6.364948453608247
total_transaction_cost,0.049
benchmark_total_return,0.30433325364013175
mean_rank_ic,-0.0032753326509723647
input_profile,public_index_proxy
input_asset_count,6
input_industry_count,0
first_valid_factor_date,2018-07-11
